genres,app_name,specs,price,early_access,sentiment,metascore,year,genres_encoded
Action,Half-Life,"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",9.99,False,Overwhelmingly Positive,96.0,1998,0
Strategy,Disciples II: Gallean's Return,"['Single-player', 'Multi-player', 'Co-op']",6.99,False,Mostly Positive,84.0,2006,10
Strategy,Disciples II: Rise of the Elves,"['Single-player', 'Multi-player', 'Co-op']",6.99,False,Very Positive,80.0,2006,10
Action,The Ship: Murder Party,"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Valve Anti-Cheat enabled']",9.99,False,Very Positive,76.0,2006,0
Action,Advent Rising,"['Single-player', 'Steam Trading Cards']",9.99,False,Mostly Positive,70.0,2005,0
Indie,DEFCON,"['Single-player', 'Multi-player']",9.99,False,Very Positive,84.0,2006,4
Casual,Gumboy - Crazy Adventures™,['Single-player'],4.99,False,Mixed,69.0,2006,2
Strategy,Ghost Master®,['Single-player'],4.99,False,Very Positive,81.0,2003,10
Adventure,Dreamfall: The Longest Journey,['Single-player'],19.99,False,Very Positive,75.0,2006,1
Racing,FlatOut 2™,['Single-player'],9.99,False,Very Positive,76.0,2006,7
Racing,FlatOut,"['Single-player', 'Multi-player']",7.49,False,Very Positive,72.0,2005,7
Action,Lost Planet™: Extreme Condition,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Valve Anti-Cheat enabled']",14.99,False,Mostly Positive,66.0,2007,0
Strategy,CivCity: Rome,['Single-player'],9.99,False,Mostly Positive,67.0,2006,10
RPG,Arx Fatalis,['Single-player'],4.99,False,Very Positive,77.0,2002,6
Action,The Longest Journey,['Single-player'],9.99,False,Very Positive,91.0,2000,0
Strategy,Civilization IV®: Warlords,['Single-player'],4.99,False,Very Positive,84.0,2006,10
Strategy,Railroad Tycoon 3,"['Single-player', 'Multi-player']",9.99,False,Mostly Positive,80.0,2003,10
Strategy,Sid Meier's Railroads!,"['Single-player', 'Multi-player']",9.99,False,Mixed,77.0,2006,10
Strategy,Railroad Tycoon II Platinum,['Single-player'],4.99,False,Very Positive,89.0,1998,10
Action,Tomb Raider: Anniversary,"['Single-player', 'Partial Controller Support']",8.99,False,Very Positive,83.0,2007,0
Action,Devil May Cry® 3 Special Edition,"['Single-player', 'Partial Controller Support']",19.99,False,Mixed,66.0,2006,0
Action,DOOM II,"['Single-player', 'Multi-player', 'Steam Cloud']",4.99,False,Very Positive,83.0,1994,0
Action,Return to Castle Wolfenstein,"['Single-player', 'Multi-player', 'Steam Cloud']",4.99,False,Very Positive,88.0,2001,0
Action,BloodRayne,"['Single-player', 'Steam Trading Cards']",9.99,False,Mostly Positive,65.0,2003,0
Action,QUAKE,"['Single-player', 'Multi-player', 'Co-op', 'Steam Cloud']",4.99,False,Overwhelmingly Positive,94.0,2007,0
Strategy,Genesis Rising,"['Single-player', 'Multi-player']",4.99,False,Mostly Negative,57.0,2007,10
Action,BioShock™,"['Single-player', 'Partial Controller Support']",19.99,False,Very Positive,96.0,2007,0
Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","['Single-player', 'Multi-player', 'Steam Trading Cards', 'Steam Cloud']",12.99,False,Overwhelmingly Positive,86.0,2006,10
Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade","['Single-player', 'Multi-player', 'Steam Cloud']",12.99,False,Overwhelmingly Positive,87.0,2006,10
Strategy,Rome: Total War™ - Collection,"['Single-player', 'Multi-player', 'Steam Trading Cards']",9.99,False,Very Positive,92.0,2004,10
Strategy,Rome: Total War™ - Alexander,"['Single-player', 'Multi-player']",4.99,False,Mostly Positive,79.0,2006,10
Action,Manhunt,['Single-player'],9.99,False,Mixed,75.0,2004,0
Racing,Midnight Club 2,"['Single-player', 'Multi-player']",9.99,False,Very Positive,81.0,2003,7
Action,Max Payne 2: The Fall of Max Payne,['Single-player'],9.99,False,Very Positive,86.0,2003,0
Action,Tomb Raider: Legend,"['Single-player', 'Partial Controller Support']",6.99,False,Very Positive,82.0,2006,0
Action,Max Payne,['Single-player'],9.99,False,Very Positive,89.0,2001,0
Strategy,Command & Conquer: Red Alert 3,['Single-player'],19.99,False,Very Positive,82.0,2008,10
Casual,PuzzleQuest: Challenge of the Warlords,"['Single-player', 'Multi-player', 'Steam Cloud']",9.99,False,Very Positive,84.0,2007,2
RPG,Culpa Innata,['Single-player'],9.99,False,Very Positive,66.0,2007,6
Action,Conflict: Denied Ops,['Single-player'],5.99,False,Mixed,58.0,2008,0
Action,ARMA: Combat Operations,"['Single-player', 'Multi-player', 'Includes level editor']",7.99,False,Mixed,74.0,2007,0
Simulation,Tycoon City: New York,['Single-player'],9.99,False,Mostly Negative,67.0,2006,8
Action,Desperados 2: Cooper's Revenge,['Single-player'],9.99,False,Mixed,66.0,2006,0
Action,Death to Spies,"['Single-player', 'Steam Cloud']",4.99,False,Mostly Positive,69.0,2007,0
Action,Act of War: High Treason,"['Single-player', 'Multi-player']",2.99,False,Very Positive,74.0,2006,0
Simulation,RollerCoaster Tycoon® 3: Platinum,['Single-player'],19.99,False,Very Positive,81.0,2006,8
Action,Act of War: Direct Action,"['Single-player', 'Multi-player']",2.99,False,Very Positive,82.0,2005,0
Action,Unreal 2: The Awakening,['Single-player'],14.99,False,Mostly Positive,75.0,2003,0
Casual,Ninja Reflex: Steamworks Edition,"['Single-player', 'Multi-player', 'Steam Achievements']",4.99,False,Positive,57.0,2008,2
Action,Tom Clancy's Splinter Cell®,['Single-player'],9.99,False,Very Positive,91.0,2003,0
Action,Far Cry®,['Single-player'],9.99,False,Very Positive,89.0,2004,0
Action,Unreal Tournament: Game of the Year Edition,"['Single-player', 'Multi-player']",9.99,False,Overwhelmingly Positive,92.0,2000,0
Action,Tom Clancy's Rainbow Six® Vegas,"['Single-player', 'Multi-player']",9.99,False,Mostly Positive,85.0,2006,0
Simulation,Silent Hunter® III,"['Single-player', 'Multi-player', 'Co-op']",9.99,False,Very Positive,90.0,2005,8
Action,Rayman Raving Rabbids™,['Single-player'],9.99,False,Mostly Positive,58.0,2007,0
Simulation,Silent Hunter®: Wolves of the Pacific,"['Single-player', 'Multi-player']",9.99,False,Mixed,79.0,2007,8
Simulation,IL-2 Sturmovik: 1946,"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",9.99,False,Very Positive,86.0,2006,8
Adventure,Bone: Out From Boneville,['Single-player'],9.99,False,Mixed,68.0,2005,1
Adventure,Bone: The Great Cow Race,['Single-player'],9.99,False,Mixed,76.0,2006,1
Adventure,Dracula Origin,['Single-player'],9.99,False,Mixed,70.0,2008,1
Adventure,Sherlock Holmes - Nemesis,['Single-player'],9.99,False,Mostly Positive,71.0,2008,1
Simulation,Pacific Storm Allies,"['Single-player', 'Multi-player', 'Steam Trading Cards']",7.99,False,Mixed,60.0,2007,8
Racing,FlatOut: Ultimate Carnage,"['Single-player', 'Multi-player']",19.99,False,Very Positive,79.0,2008,7
Racing,GTR Evolution Expansion Pack for RACE 07,"['Single-player', 'Multi-player', 'Downloadable Content']",7.99,False,Positive,83.0,2008,7
Strategy,X-COM: Enforcer,"['Single-player', 'Multi-player']",4.99,False,Mixed,65.0,2001,10
Action,S.T.A.L.K.E.R.: Clear Sky,"['Single-player', 'Multi-player']",9.99,False,Very Positive,75.0,2008,0
Action,Crysis Warhead®,['Single-player'],19.99,False,Very Positive,84.0,2008,0
Action,Crysis,['Single-player'],19.99,False,Very Positive,91.0,2007,0
Action,The Witcher: Enhanced Edition Director's Cut,"['Single-player', 'Steam Cloud']",9.99,False,Very Positive,86.0,2008,0
Indie,Multiwinia,"['Single-player', 'Multi-player', 'Steam Achievements']",9.99,False,Very Positive,76.0,2008,4
Strategy,Sid Meier's Civilization IV: Colonization,"['Single-player', 'Multi-player']",19.99,False,Mostly Positive,83.0,2008,10
Action,Tom Clancy's Rainbow Six® 3 Gold,['Single-player'],9.99,False,Very Positive,85.0,2003,0
Action,LEGO Batman,"['Single-player', 'Shared/Split Screen', 'Full controller support']",19.99,False,Very Positive,80.0,2008,0
RPG,Hinterland,"['Single-player', 'Steam Achievements']",9.99,False,Mostly Positive,65.0,2008,6
Action,Brothers in Arms: Hell's Highway™,['Single-player'],9.99,False,Very Positive,79.0,2008,0
Strategy,Heroes of Might & Magic V: Hammers of Fate,['Single-player'],9.99,False,Mostly Positive,66.0,2006,10
Action,Brothers in Arms: Earned in Blood™,['Single-player'],9.99,False,Very Positive,84.0,2005,0
Strategy,Heroes of Might & Magic V: Tribes of the East,['Single-player'],9.99,False,Very Positive,70.0,2007,10
Strategy,The Settlers®: Rise Of An Empire Gold Edition,['Single-player'],19.99,False,Mostly Positive,66.0,2008,10
Action,The Sum of All Fears,"['Single-player', 'Multi-player']",9.99,False,Positive,72.0,2002,0
Casual,Peggle™ Nights,['Single-player'],4.99,False,Very Positive,76.0,2008,2
Indie,World of Goo,"['Single-player', 'Steam Achievements']",9.99,False,Very Positive,90.0,2008,4
Action,X3: Terran Conflict,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']",15.99,False,Very Positive,73.0,2008,0
Action,Bully: Scholarship Edition,"['Single-player', 'Partial Controller Support']",14.99,False,Very Positive,72.0,2008,0
Action,Far Cry® 2: Fortune's Edition,"['Single-player', 'Multi-player']",9.99,False,Mostly Positive,85.0,2008,0
Action,Saints Row 2,"['Single-player', 'Steam Cloud']",9.99,False,Mostly Positive,72.0,2009,0
Action,Dead Space,"['Single-player', 'Full controller support']",19.99,False,Very Positive,86.0,2008,0
RPG,Rise of the Argonauts,"['Single-player', 'Full controller support']",9.99,False,Mostly Positive,59.0,2008,6
Action,Mirror's Edge™,"['Single-player', 'Full controller support', 'Partial Controller Support']",19.99,False,Very Positive,81.0,2009,0
