genres,app_name,specs,price,early_access,sentiment,metascore,publisher_encoded,app_name_encoded,title_encoded,url_encoded,developer_encoded,sentiment_encoded,genres_encoded,tags_encoded,reviews_url_encoded,specs_encoded,year
Action,Lost Summoner Kitty,Single,4.99,False,Unknown,0.0,3837,15304,14348,31574,5171,14,1,171,31572,17,2018
Free,Ironbound,Single,0.0,False,Mostly,0.0,4236,13737,12896,26220,8144,10,9,66,26218,17,2018
Casual,Real Pool 3D - Poolians,Single,0.0,False,Mostly,0.0,5409,20592,19297,27513,7216,10,5,66,27511,17,2017
Action,弹炸人2222,Single,0.99,False,Unknown,0.0,8223,32046,30015,31757,10974,14,1,5,31755,17,2017
nan,Log Challenge,Single,2.99,False,Unknown,0.0,7288,15174,27768,31869,9767,14,22,5,31867,17,1999
Action,Battle Royale Trainer,Single,3.99,False,Mixed,0.0,7173,2553,2390,31859,9585,9,1,5,31857,17,2018
Free,SNOW - All Access Basic Pass,Single,9.99,False,Unknown,0.0,7288,22961,21597,31876,7223,14,9,66,31874,17,2018
Free,SNOW - All Access Pro Pass,Single,18.99,False,Unknown,0.0,5416,22963,21599,31877,7223,14,9,66,31875,17,2018
Free,SNOW - All Access Legend Pass,Single,29.99,False,Unknown,0.0,5416,22962,21598,31878,7223,14,9,66,31876,17,2018
Casual,Race,Single,0.0,False,Unknown,0.0,5777,20382,19105,31790,7709,14,5,86,31788,17,2018
Action,Uncanny Islands,Single,0.0,True,Unknown,0.0,5543,29454,27682,31782,7381,14,1,52,31780,17,1999
nan,Icarus Six Sixty Six,Single,0.0,False,Unknown,0.0,7288,13327,27768,30198,9767,14,22,26,30196,17,1999
Action,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Single,10.99,False,Unknown,0.0,6537,1672,1557,31825,8728,14,1,5,31823,17,2018
Casual,Beach Rules,Single,3.99,False,Unknown,0.0,1509,2678,2511,31801,2004,14,5,26,31799,17,2018
Casual,Planetarium 2 - Zen Odyssey,Single,2.99,False,Unknown,0.0,2879,19235,18036,31684,3876,14,5,86,31682,17,2018
Adventure,The first thrust of God,Single,1.59,False,1,0.0,504,27930,26239,31871,647,0,2,171,31869,17,2018
Free,SNOW - Starter Pack,Single,14.99,False,Unknown,0.0,5416,22965,21601,31875,7223,14,9,66,31873,17,2018
Adventure,The first thrust of God - All Aircrafts,Single,1.99,False,Unknown,0.0,504,27931,26240,31872,647,14,2,171,31870,17,2018
Free,SNOW - Lifetime Pack,Single,59.99,False,Unknown,0.0,5416,22964,21600,31879,7223,14,9,66,31877,17,2018
nan,After Life VR,Single,4.99,True,Unknown,0.0,7288,874,27768,31860,9767,14,22,52,31858,17,1999
nan,Kitty Hawk,Single,2.99,True,Unknown,0.0,7288,14390,27768,26081,9767,14,22,52,26079,17,1999
Action,The Warrior Of Treasures,Single,0.99,False,3,0.0,6878,27873,26188,31770,9208,2,1,5,31768,17,2018
nan,Mortars VR,Single,0.99,True,8,0.0,7288,16867,27768,29534,9767,7,22,52,29532,17,1999
Racing,RC Plane 3 - Canyon Scenario,Single,2.99,False,Unknown,0.0,2662,20026,18757,31892,3608,14,14,155,31890,17,2017
Racing,RC Plane 3 - F-53B,Single,2.99,False,Unknown,0.0,2662,20031,18762,31893,3608,14,14,155,31891,17,2017
Action,DinoBlaster,Single,4.99,False,Unknown,0.0,1284,6922,6471,26717,1675,14,1,86,26715,17,2018
nan,Robotpencil Presents: Understanding 3D for Concept,nan,4.99,False,Unknown,0.0,7288,21297,19959,31898,9767,14,22,45,31896,22,2018
Action,Carmageddon Max Pack,Single,9.99,False,Very,0.0,6502,4224,3941,4185,8671,15,1,139,4184,17,1997
Action,Half-Life,Single,9.99,False,Overwhelmingly,96.0,7347,12272,11533,28985,9849,12,1,57,28983,17,1998
Action,Fallen Mage,Single,1.99,False,Unknown,0.0,7924,9128,8526,31256,10610,14,1,5,31254,17,2016
nan,Don't Get Hit In The Face,Single,3.99,False,8,0.0,7288,7161,27768,23660,9767,7,22,5,23659,17,1999
Casual,Lost Cities,Single,0.0,False,Unknown,0.0,1011,15252,14298,19214,1316,14,5,26,19213,17,2018
Action,Twisted Enhanced Edition,Single,0.0,False,Unknown,0.0,2808,29271,27508,28527,3792,14,1,5,28525,17,2018
Casual,Vaporwave Simulator,Single,0.99,False,Mostly,0.0,2135,29849,27965,31742,2878,10,5,26,31740,17,2018
Action,Tactics Forever,Online,0.0,False,Unknown,0.0,5468,26319,24733,12773,7281,14,1,26,12772,14,2018
Adventure,Christmas Santa Troubles,Single,0.0,False,Unknown,0.0,7289,4601,4291,31863,9769,14,2,6,31861,17,2017
nan,Kingdom Watcher,Single,0.0,False,Unknown,0.0,7288,14346,27768,28046,9767,14,22,5,28044,17,1999
Action,Underdone - Soundtrack,Single,8.99,False,Unknown,0.0,7288,29487,27713,31328,9242,14,1,5,31326,17,2018
Adventure,Bitcoin Clicker,Single,0.99,False,Mixed,0.0,1397,2907,2723,29774,10729,9,2,6,29772,17,2018
Strategy,Disciples II: Gallean's Return,Single,6.99,False,Mostly,84.0,6588,6965,6507,279,8800,10,18,179,279,17,2006
Strategy,Disciples II: Rise of the Elves,Single,6.99,False,Very,80.0,6588,6966,6508,277,8800,15,18,171,277,17,2006
Action,The Ship: Murder Party,Single,9.99,False,Very,76.0,958,27693,26025,2337,6766,15,1,110,2336,17,2006
Strategy,United Tactics,Multi,0.0,False,Unknown,0.0,7776,29536,27757,27185,10438,14,18,171,27183,12,1999
Indie,Life of Rome,Multi,0.0,True,Unknown,0.0,1095,15010,14079,10603,1428,14,10,52,10602,12,1999
Adventure,Idle Adventure,MMO,0.0,True,Unknown,0.0,8197,13338,12521,29672,10941,14,2,52,29670,11,1999
nan,Panoptic,Multi,0.0,True,Unknown,0.0,7288,18672,27768,20477,9767,14,22,52,20476,12,1999
Action,Souland,Single,7.99,True,Unknown,0.0,7262,24513,23057,31537,9730,14,1,52,31535,17,2017
Action,Darkness and a Crowd,Single,0.0,False,Unknown,0.0,6152,6251,5846,27052,8195,14,1,5,27050,17,2018
Action,TAROTICA VOO DOO,Single,10.99,False,6,0.0,6759,26027,24453,24144,9028,5,1,86,24143,17,2017
Casual,Chronicles of Vinland,Single,9.99,True,Mixed,0.0,7649,4625,4314,31288,10260,9,5,52,31286,17,2017
Action,Orbitality,Single,9.99,False,1,0.0,7649,18258,17122,31287,10260,0,1,86,31285,17,2017
nan,Medicalholodeck Personal Version,Tracked,29.99,False,Unknown,0.0,7288,16267,27768,31811,9767,14,22,53,31809,20,1999
Action,Atomic Adam: Episode 1,Single,1.99,False,5,0.0,4206,1900,1775,31656,5663,4,1,5,31654,17,2017
nan,Golf Masters,Single,0.0,False,Unknown,0.0,7288,11676,27768,10155,9767,14,22,155,10154,17,1999
Adventure,Mirt. Tales of the Cold Land. Chapter 2,Single,0.99,False,2,0.0,7288,16676,15630,31495,3017,1,2,6,31493,17,2017
Action,Advent Rising,Single,9.99,False,Mostly,70.0,4234,780,726,10521,3913,10,1,5,10520,17,2005
Indie,DEFCON,Single,9.99,False,Very,84.0,3469,5920,5531,233,4621,15,10,171,233,17,2006
Action,The Ship: Single Player,Single,9.99,False,Mixed,0.0,958,27695,26027,2393,6766,9,1,5,2392,17,2006
Indie,Garry's Mod,Single,9.99,False,Overwhelmingly,0.0,7347,11331,10661,11912,3253,12,10,148,11911,17,2006
Racing,RACE - The WTCC Game,Single,39.99,False,Mostly,0.0,6247,20007,18740,13427,8315,10,14,139,13426,17,2006
Casual,Zen of Sudoku,Single,0.0,False,Very,0.0,7290,31559,29561,17291,9770,15,5,26,17290,17,2006
Casual,Gumboy - Crazy Adventures™,Single,4.99,False,Mixed,69.0,1194,12023,11304,2767,1560,9,5,26,2766,17,2006
Strategy,Ghost Master®,Single,4.99,False,Very,81.0,6588,11449,10774,24984,8272,15,18,171,24982,17,2003
Strategy,Vegas: Make It Big™,Single,4.99,False,Mostly,0.0,6588,29876,27984,25049,2493,10,18,171,25047,17,2006
Adventure,Dreamfall: The Longest Journey,Single,19.99,False,Very,75.0,2685,7405,6906,25539,3630,15,2,6,25537,17,2006
Racing,FlatOut 2™,Single,9.99,False,Very,76.0,6588,10390,9759,5143,1474,15,14,139,5142,17,2006
Racing,FlatOut,Single,7.49,False,Very,72.0,6588,10389,9758,25100,1474,15,14,139,25098,17,2005
Action,Lost Planet™: Extreme Condition,Single,14.99,False,Mostly,66.0,1250,15294,14339,26552,1541,10,1,5,26550,17,2007
Strategy,CivCity: Rome,Single,9.99,False,Mostly,67.0,57,4744,4426,11807,3391,10,18,171,11806,17,2006
RPG,Arx Fatalis,Single,4.99,False,Very,77.0,552,1708,1592,298,715,15,13,136,298,17,2002
Action,The Longest Journey,Single,9.99,False,Very,91.0,2685,27384,25740,25593,3630,15,1,6,25591,17,2000
Strategy,Civilization IV®: Warlords,Single,4.99,False,Very,84.0,57,4756,4438,11864,3375,15,18,171,11863,17,2006
Strategy,Railroad Tycoon 3,Single,9.99,False,Mostly,80.0,57,20486,19198,31572,7220,10,18,171,31570,17,2003
